Timestamp,IMU1Data,IMU2Data,Depth
1722259895.6511524,"accelerometer {
  x: 0.0732421875
  y: 0.03173828125
  z: 0.919921875
}
gyroscope {
  x: 0.029797425959259272
  y: -0.022348069469444454
  z: -0.069172595976851881
}
magnetometer {
  x: 17.102412157692015
  y: -45.786437260801904
  z: 101.17599608795717
}
temperature: 47.2137947
","accelerometer {
  x: -0.02392578125
  y: 0.0029296875
  z: 0.97900390625
}
gyroscope {
  x: -0.0042567751370370388
  y: -0.019155488116666675
  z: -0.050017107860185206
}
magnetometer {
  x: 39.604969524079934
  y: -16.736935952678323
  z: 157.71703924052417
}
temperature: 49.5200844
",-0.17000000178813934
1722259895.7533374,"accelerometer {
  x: 0.1357421875
  y: 0.05078125
  z: 0.9208984375
}
gyroscope {
  x: 0.027669038390740752
  y: -0.021283875685185194
  z: -0.0606590457027778
}
magnetometer {
  x: 16.760363914538175
  y: -45.076570016448386
  z: 98.699660519370809
}
temperature: 47.1898346
","accelerometer {
  x: 0.044921875
  y: 0.01904296875
  z: 0.994140625
}
gyroscope {
  x: -0.0095777440583333373
  y: -0.012770325411111116
  z: -0.046824526507407427
}
magnetometer {
  x: 38.916187445400283
  y: -16.380830932408571
  z: 158.43393487343565
}
temperature: 49.5200844
",-0.17399999499320984
1722259895.858304,"accelerometer {
  x: 0.0888671875
  y: 0.05810546875
  z: 0.9267578125
}
gyroscope {
  x: 0.026604844606481493
  y: -0.025540650822222233
  z: -0.085135502740740776
}
magnetometer {
  x: 14.366026212461293
  y: -43.301901905564591
  z: 100.82223386387341
}
temperature: 47.2078056
","accelerometer {
  x: -0.00439453125
  y: 0.02783203125
  z: 0.998046875
}
gyroscope {
  x: -0.010641937842592597
  y: -0.014898712979629636
  z: -0.0713009835453704
}
magnetometer {
  x: 35.300081532332115
  y: -17.27109348308295
  z: 159.330054414575
}
temperature: 49.517086
",-0.17299999296665192
1722259895.9605489,"accelerometer {
  x: 0.09326171875
  y: 0.044921875
  z: 0.91796875
}
gyroscope {
  x: 0.029797425959259272
  y: -0.024476457037962973
  z: -0.061723239487037063
}
magnetometer {
  x: 16.931388036115095
  y: -46.318837694067042
  z: 100.64535275183152
}
temperature: 47.1778526
","accelerometer {
  x: 0.00439453125
  y: 0.01416015625
  z: 0.9873046875
}
gyroscope {
  x: -0.0063851627055555582
  y: -0.012770325411111116
  z: -0.042567751370370388
}
magnetometer {
  x: 38.916187445400283
  y: -16.380830932408571
  z: 157.0001436076127
}
temperature: 49.5230789
",-0.17399999499320984
1722259896.0623903,"accelerometer {
  x: 0.0302734375
  y: 0.04345703125
  z: 0.91845703125
}
gyroscope {
  x: 0.030861619743518531
  y: -0.027669038390740752
  z: -0.050017107860185206
}
magnetometer {
  x: 17.444460400845855
  y: -45.786437260801904
  z: 99.407184967538342
}
temperature: 47.2197876
","accelerometer {
  x: -0.0634765625
  y: 0.01220703125
  z: 0.984375
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.012770325411111116
  z: -0.03724678244907409
}
magnetometer {
  x: 38.055209847050719
  y: -16.202778422273695
  z: 157.17936751584057
}
temperature: 49.4871368
",-0.16899999976158142
1722259896.1651797,"accelerometer {
  x: 0.02587890625
  y: 0.05322265625
  z: 0.9228515625
}
gyroscope {
  x: 0.030861619743518531
  y: -0.025540650822222233
  z: -0.045760332723148167
}
magnetometer {
  x: 15.392170941922814
  y: -44.721636394271627
  z: 100.82223386387341
}
temperature: 47.1988182
","accelerometer {
  x: -0.06494140625
  y: 0.02001953125
  z: 0.99169921875
}
gyroscope {
  x: -0.0095777440583333373
  y: -0.018091294332407415
  z: -0.029797425959259272
}
magnetometer {
  x: 37.883014327380806
  y: -18.161356033757329
  z: 158.79238268989138
}
temperature: 49.511097
",-0.1770000010728836
1722259896.2718866,"accelerometer {
  x: 0.0546875
  y: 0.0400390625
  z: 0.92138671875
}
gyroscope {
  x: 0.030861619743518531
  y: -0.025540650822222233
  z: -0.03511839488055557
}
magnetometer {
  x: 16.760363914538175
  y: -44.011769149918109
  z: 101.17599608795717
}
temperature: 47.1928291
","accelerometer {
  x: -0.0439453125
  y: 0.00830078125
  z: 0.99658203125
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.018091294332407415
  z: -0.021283875685185194
}
magnetometer {
  x: 37.538623288040981
  y: -16.380830932408571
  z: 158.43393487343565
}
temperature: 49.5081024
",-0.16699999570846558
1722259896.4790447,"accelerometer {
  x: 0.10205078125
  y: 0.037109375
  z: 0.91650390625
}
gyroscope {
  x: 0.031925813527777791
  y: -0.028733232175000012
  z: -0.03618258866481483
}
magnetometer {
  x: 14.366026212461293
  y: -45.786437260801904
  z: 100.46847163978964
}
temperature: 47.2227821
","accelerometer {
  x: 0.00244140625
  y: 0.01025390625
  z: 0.984375
}
gyroscope {
  x: -0.0042567751370370388
  y: -0.019155488116666675
  z: -0.022348069469444454
}
magnetometer {
  x: 37.883014327380806
  y: -17.093040972948074
  z: 159.50927832280286
}
temperature: 49.5200844
",-0.16899999976158142
1722259896.4865441,"accelerometer {
  x: 0.10107421875
  y: 0.04150390625
  z: 0.92822265625
}
gyroscope {
  x: 0.030861619743518531
  y: -0.026604844606481493
  z: -0.022348069469444454
}
magnetometer {
  x: 18.641629251884297
  y: -42.769501472299453
  z: 101.70663942408282
}
temperature: 47.2137947
","accelerometer {
  x: 0.0087890625
  y: 0.01220703125
  z: 0.99658203125
}
gyroscope {
  x: -0.0053209689212962985
  y: -0.019155488116666675
  z: -0.0063851627055555582
}
magnetometer {
  x: 38.916187445400283
  y: -15.312515871599317
  z: 157.35859142406844
}
temperature: 49.4961205
",-0.16200000047683716
1722259896.8185463,"accelerometer {
  x: 0.0888671875
  y: 0.04736328125
  z: 0.9287109375
}
gyroscope {
  x: 0.028733232175000012
  y: -0.032990007312037051
  z: -0.025540650822222233
}
magnetometer {
  x: 16.418315671384335
  y: -45.431503638625145
  z: 98.699660519370809
}
temperature: 47.2018166
","accelerometer {
  x: -0.0009765625
  y: 0.0166015625
  z: 0.99951171875
}
gyroscope {
  x: -0.010641937842592597
  y: -0.017027100548148155
  z: -0.010641937842592597
}
magnetometer {
  x: 38.916187445400283
  y: -16.02472591213882
  z: 158.79238268989138
}
temperature: 49.5081024
",-0.17399999499320984
